,signal_id,measurement_id,entropy,n5,n25,n75,n95,median,mean,std,var,rms,no_zero_crossings,no_mean_crossings,fault
0,0,0,13.592365756649292,1972,1972,-0.0002624064304269869,-0.0001204294027594699,0.00010894591107302176,0.00026746508026462827,-1.3216945795591073e-06,4.368636422888252e-11,0.17987494197348036,0.03235499474996292,0.0036605934878461734,0
1,1,0,13.592365756649292,1972,1972,-0.0002624064304269869,-0.0001204294027594699,0.00010894591107302176,0.00026746508026462827,-1.3216945795591073e-06,4.368636422888252e-11,0.17987494197348036,0.03235499474996292,0.0036605934878461734,0
2,2,0,13.592365756649292,1972,1972,-0.0002624064304269869,-0.0001204294027594699,0.00010894591107302176,0.00026746508026462827,-1.3216945795591073e-06,4.368636422888252e-11,0.17987494197348036,0.03235499474996292,0.0036605934878461734,0
3,3,1,13.592365756649292,84251,84251,-0.05314043337951872,-0.004276429952496663,0.004200404844308281,0.05353453763210995,-7.715283572906628e-06,6.540488017819756e-10,0.48737931795451217,0.23753859956980547,0.03433512673936807,1
4,4,1,13.592365756649292,84251,84251,-0.05314043337951872,-0.004276429952496663,0.004200404844308281,0.05353453763210995,-7.715283572906628e-06,6.540488017819756e-10,0.48737931795451217,0.23753859956980547,0.03433512673936807,1
5,5,1,13.592365756649292,84251,84251,-0.05314043337951872,-0.004276429952496663,0.004200404844308281,0.05353453763210995,-7.715283572906628e-06,6.540488017819756e-10,0.48737931795451217,0.23753859956980547,0.03433512673936807,1
6,6,2,13.592365756649292,4546,4546,-0.002611813421902021,-0.000293765455701811,0.0002767428051360099,0.002574673540143909,9.811092809286492e-07,-2.4382103511164735e-09,0.18109679196364722,0.03279604805952452,0.0025931396221511175,0
7,7,2,13.592365756649292,4546,4546,-0.002611813421902021,-0.000293765455701811,0.0002767428051360099,0.002574673540143909,9.811092809286492e-07,-2.4382103511164735e-09,0.18109679196364722,0.03279604805952452,0.0025931396221511175,0
8,8,2,13.592365756649292,4546,4546,-0.002611813421902021,-0.000293765455701811,0.0002767428051360099,0.002574673540143909,9.811092809286492e-07,-2.4382103511164735e-09,0.18109679196364722,0.03279604805952452,0.0025931396221511175,0
9,9,3,13.592365756649292,114196,114196,-0.24650503840225974,-0.06211089008312776,0.06191506659554502,0.24725665080762765,-3.95487370994374e-05,-1.5954961143365436e-07,4.241260363485516,17.988289470873294,0.3336050808512554,0
10,10,3,13.592365756649292,114196,114196,-0.24650503840225974,-0.06211089008312776,0.06191506659554502,0.24725665080762765,-3.95487370994374e-05,-1.5954961143365436e-07,4.241260363485516,17.988289470873294,0.3336050808512554,0
11,11,3,13.592365756649292,114196,114196,-0.24650503840225974,-0.06211089008312776,0.06191506659554502,0.24725665080762765,-3.95487370994374e-05,-1.5954961143365436e-07,4.241260363485516,17.988289470873294,0.3336050808512554,0
12,12,4,13.592364023779174,63896,63896,-0.03220319104694855,-0.0012506743156746047,0.0012377292354113223,0.032140325035377774,-5.37510320341994e-06,-1.3301837602877861e-09,0.7524671745690105,0.5662068488038697,0.030800099911968963,0
13,13,4,13.592364023779174,63896,63896,-0.03220319104694855,-0.0012506743156746047,0.0012377292354113223,0.032140325035377774,-5.37510320341994e-06,-1.3301837602877861e-09,0.7524671745690105,0.5662068488038697,0.030800099911968963,0
14,14,4,13.592364023779174,63896,63896,-0.03220319104694855,-0.0012506743156746047,0.0012377292354113223,0.032140325035377774,-5.37510320341994e-06,-1.3301837602877861e-09,0.7524671745690105,0.5662068488038697,0.030800099911968963,0
15,15,5,13.592365756649292,260,260,-0.0001981829543353353,-9.515603975884801e-05,9.835678470082598e-05,0.00020342038954286324,-4.434780540130134e-06,1.8627017221336477e-10,0.08742070270214454,0.007642379260936741,0.0008471419099141533,0
16,16,5,13.592365756649292,260,260,-0.0001981829543353353,-9.515603975884801e-05,9.835678470082598e-05,0.00020342038954286324,-4.434780540130134e-06,1.8627017221336477e-10,0.08742070270214454,0.007642379260936741,0.0008471419099141533,0
17,17,5,13.592365756649292,260,260,-0.0001981829543353353,-9.515603975884801e-05,9.835678470082598e-05,0.00020342038954286324,-4.434780540130134e-06,1.8627017221336477e-10,0.08742070270214454,0.007642379260936741,0.0008471419099141533,0
18,18,6,13.592365756649292,21982,21982,-0.021688313855518792,-0.004603460351942035,0.004584345125710598,0.021764325088390095,4.661377015580115e-05,-2.2316305291898487e-09,0.8734944263056099,0.7629925127869667,0.027974718691347062,0
19,19,6,13.592365756649292,21982,21982,-0.021688313855518792,-0.004603460351942035,0.004584345125710598,0.021764325088390095,4.661377015580115e-05,-2.2316305291898487e-09,0.8734944263056099,0.7629925127869667,0.027974718691347062,0
20,20,6,13.592365756649292,21982,21982,-0.021688313855518792,-0.004603460351942035,0.004584345125710598,0.021764325088390095,4.661377015580115e-05,-2.2316305291898487e-09,0.8734944263056099,0.7629925127869667,0.027974718691347062,0
21,21,7,13.592365756649292,79172,79174,-0.2418104661089183,-0.04749128098886857,0.04702761498839614,0.24390872548014747,-0.00043291311167559243,-5.300147860158091e-07,0.15584878252054796,0.02428884301313706,0.09286971109544379,0
22,22,7,13.592365756649292,79172,79174,-0.2418104661089183,-0.04749128098886857,0.04702761498839614,0.24390872548014747,-0.00043291311167559243,-5.300147860158091e-07,0.15584878252054796,0.02428884301313706,0.09286971109544379,0
23,23,7,13.592365756649292,79172,79174,-0.2418104661089183,-0.04749128098886857,0.04702761498839614,0.24390872548014747,-0.00043291311167559243,-5.300147860158091e-07,0.15584878252054796,0.02428884301313706,0.09286971109544379,0
24,24,8,13.592365756649292,55138,55140,-0.03158950232638067,-0.0005762081039542011,0.0005829614655774584,0.03152121711390312,-1.0169387696379317e-05,-2.8636762118329887e-07,0.46215505449860667,0.21358729439861007,0.025709433037891537,0
25,25,8,13.592365756649292,55138,55140,-0.03158950232638067,-0.0005762081039542011,0.0005829614655774584,0.03152121711390312,-1.0169387696379317e-05,-2.8636762118329887e-07,0.46215505449860667,0.21358729439861007,0.025709433037891537,0
